n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,tape,model,variant
1,232,1,231,0,0.004310344827586207,1.0,0.008583690987124462,341.0000000001219,378.00000000015643,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th40
1,700,0,700,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th40
37,647,6,641,31,0.00927357032457496,0.16216216216216217,0.017543859649122806,346.33333333333144,357.16666666665725,0.14285714285714285,0.2,0.15,0.23076923076923075,0.3333333333333333,0.2222222222222222,TINA_20250203_v2.wav,v1_random,len500_hop050_th40
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th40
0,1075,0,1075,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th40
16,674,1,673,15,0.001483679525222552,0.0625,0.0028985507246376816,1223.0000000000132,218.00000000001774,0.0,,0.0,,1.0,1.0,UNKN_20250205.wav,v1_random,len500_hop050_th40
1,1103,0,1103,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th40
3,584,0,584,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th40
57,647,8,639,49,0.012364760432766615,0.14035087719298245,0.022727272727272728,282.6249999999675,650.249999999982,0.0,,0.12195121951219512,0.20408163265306123,0.21428571428571427,0.2727272727272727,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th40
0,511,0,511,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th40
5,1058,0,1058,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th40
1,556,0,556,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th90
0,468,0,468,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th90
7,311,0,311,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th90
1,58,1,57,0,0.017241379310344827,1.0,0.03389830508474576,291.00000000016735,327.99999999997453,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th90
1,228,0,228,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th90
37,252,11,241,26,0.04365079365079365,0.2972972972972973,0.07612456747404843,335.18181818181927,342.6363636363667,0.21428571428571427,0.23999999999999996,0.3,0.3870967741935483,0.6666666666666666,0.28571428571428575,TINA_20250203_v2.wav,v1_random,len500_hop050_th90
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th90
0,805,0,805,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th90
16,1185,2,1183,14,0.0016877637130801688,0.125,0.0033305578684429647,318.0000000000174,277.0000000000028,0.0,,0.09090909090909091,0.15384615384615385,1.0,0.6666666666666666,UNKN_20250205.wav,v1_random,len500_hop050_th90
